text,label
Team lunch planned next week,safe
Meeting scheduled for tomorrow,safe
Please review the attached document,safe
Project deadline is Friday,safe
Security alert detected,phishing
You won a lottery prize,phishing
Happy birthday and best wishes,safe
Click here to claim your reward,phishing
Verify your bank account immediately,phishing
Project deadline is Friday,safe
Your account has been suspended,phishing
Team lunch planned next week,safe
Weekly report submission reminder,safe
Project deadline is Friday,safe
Verify your bank account immediately,phishing
Team lunch planned next week,safe
Urgent action required,phishing
Security alert detected,phishing
You won a lottery prize,phishing
Conference starts at 10 AM,safe
Verify your bank account immediately,phishing
Urgent action required,phishing
Team lunch planned next week,safe
Weekly report submission reminder,safe
Team lunch planned next week,safe
Security alert detected,phishing
Security alert detected,phishing
You won a lottery prize,phishing
Team lunch planned next week,safe
Confirm your login credentials,phishing
Meeting scheduled for tomorrow,safe
You won a lottery prize,phishing
Reset your password now,phishing
You won a lottery prize,phishing
Team lunch planned next week,safe
Security alert detected,phishing
Weekly report submission reminder,safe
Project deadline is Friday,safe
Your account has been suspended,phishing
Happy birthday and best wishes,safe
Let's discuss the project tomorrow,safe
Weekly report submission reminder,safe
Meeting scheduled for tomorrow,safe
Happy birthday and best wishes,safe
Team lunch planned next week,safe
Verify your bank account immediately,phishing
Urgent action required,phishing
Meeting scheduled for tomorrow,safe
Security alert detected,phishing
Urgent action required,phishing
Verify your bank account immediately,phishing
Weekly report submission reminder,safe
Security alert detected,phishing
Project deadline is Friday,safe
Your account has been suspended,phishing
Happy birthday and best wishes,safe
Project deadline is Friday,safe
Conference starts at 10 AM,safe
Your account has been suspended,phishing
Please review the attached document,safe
Click here to claim your reward,phishing
You won a lottery prize,phishing
Security alert detected,phishing
Weekly report submission reminder,safe
Security alert detected,phishing
Confirm your login credentials,phishing
Conference starts at 10 AM,safe
Happy birthday and best wishes,safe
Happy birthday and best wishes,safe
Security alert detected,phishing
Weekly report submission reminder,safe
Weekly report submission reminder,safe
Meeting scheduled for tomorrow,safe
Reset your password now,phishing
Security alert detected,phishing
Your account has been suspended,phishing
Please review the attached document,safe
Conference starts at 10 AM,safe
Security alert detected,phishing
You won a lottery prize,phishing
Project deadline is Friday,safe
Verify your bank account immediately,phishing
Team lunch planned next week,safe
Your account has been suspended,phishing
Weekly report submission reminder,safe
Let's discuss the project tomorrow,safe
Meeting scheduled for tomorrow,safe
Urgent action required,phishing
Please review the attached document,safe
Your account has been suspended,phishing
You won a lottery prize,phishing
Team lunch planned next week,safe
Conference starts at 10 AM,safe
Project deadline is Friday,safe
Security alert detected,phishing
You won a lottery prize,phishing
Your account has been suspended,phishing
Confirm your login credentials,phishing
Urgent action required,phishing
Urgent action required,phishing
Please review the attached document,safe
Confirm your login credentials,phishing
Security alert detected,phishing
Security alert detected,phishing
Your account has been suspended,phishing
Let's discuss the project tomorrow,safe
Let's discuss the project tomorrow,safe
Weekly report submission reminder,safe
Please review the attached document,safe
Click here to claim your reward,phishing
Your account has been suspended,phishing
Project deadline is Friday,safe
Security alert detected,phishing
Please review the attached document,safe
Conference starts at 10 AM,safe
Happy birthday and best wishes,safe
Let's discuss the project tomorrow,safe
Meeting scheduled for tomorrow,safe
Meeting scheduled for tomorrow,safe
Please review the attached document,safe
Meeting scheduled for tomorrow,safe
Security alert detected,phishing
Team lunch planned next week,safe
Security alert detected,phishing
You won a lottery prize,phishing
Weekly report submission reminder,safe
Verify your bank account immediately,phishing
Urgent action required,phishing
Urgent action required,phishing
Project deadline is Friday,safe
Project deadline is Friday,safe
Security alert detected,phishing
Please review the attached document,safe
Let's discuss the project tomorrow,safe
Happy birthday and best wishes,safe
Reset your password now,phishing
Your account has been suspended,phishing
Security alert detected,phishing
Conference starts at 10 AM,safe
Security alert detected,phishing
Your account has been suspended,phishing
Weekly report submission reminder,safe
Verify your bank account immediately,phishing
Your account has been suspended,phishing
Your account has been suspended,phishing
Weekly report submission reminder,safe
Team lunch planned next week,safe
Please review the attached document,safe
You won a lottery prize,phishing
Team lunch planned next week,safe
Please review the attached document,safe
Please review the attached document,safe
Project deadline is Friday,safe
Urgent action required,phishing
Project deadline is Friday,safe
Let's discuss the project tomorrow,safe
Meeting scheduled for tomorrow,safe
Verify your bank account immediately,phishing
Weekly report submission reminder,safe
Conference starts at 10 AM,safe
Urgent action required,phishing
Please review the attached document,safe
Urgent action required,phishing
Team lunch planned next week,safe
Confirm your login credentials,phishing
Urgent action required,phishing
Team lunch planned next week,safe
Security alert detected,phishing
Weekly report submission reminder,safe
Team lunch planned next week,safe
Conference starts at 10 AM,safe
Conference starts at 10 AM,safe
Happy birthday and best wishes,safe
Conference starts at 10 AM,safe
Your account has been suspended,phishing
Conference starts at 10 AM,safe
Please review the attached document,safe
Confirm your login credentials,phishing
Team lunch planned next week,safe
Team lunch planned next week,safe
Confirm your login credentials,phishing
Confirm your login credentials,phishing
You won a lottery prize,phishing
Security alert detected,phishing
Confirm your login credentials,phishing
Security alert detected,phishing
Your account has been suspended,phishing
Urgent action required,phishing
Let's discuss the project tomorrow,safe
Conference starts at 10 AM,safe
Your account has been suspended,phishing
Confirm your login credentials,phishing
Let's discuss the project tomorrow,safe
Your account has been suspended,phishing
Weekly report submission reminder,safe
Meeting scheduled for tomorrow,safe
Click here to claim your reward,phishing
Click here to claim your reward,phishing
Please review the attached document,safe
Team lunch planned next week,safe
Project deadline is Friday,safe
Meeting scheduled for tomorrow,safe
Conference starts at 10 AM,safe
Team lunch planned next week,safe
Happy birthday and best wishes,safe
Your account has been suspended,phishing
Click here to claim your reward,phishing
Confirm your login credentials,phishing
Click here to claim your reward,phishing
Verify your bank account immediately,phishing
Happy birthday and best wishes,safe
Weekly report submission reminder,safe
Meeting scheduled for tomorrow,safe
Reset your password now,phishing
Security alert detected,phishing
Confirm your login credentials,phishing
You won a lottery prize,phishing
